"Project","Folder","File","Num of Files","Wordcount","Num of Dlg","Untranslated","Need Review","Approved","Failed","Do not translate","ICE match","100% match","Fuzzy match",
"koniec",,,172,259053,0,998,0,258055,0,0,0,0,596,258457
,"\lcn",,82,121771,0,998,0,120773,0,0,0,0,596,121175
,"\lcn","apparmor-parser.pl.po",484,0,0,0,484,0,0,0,0,0,484,
,"\lcn","apparmor-utils.pl.po",978,0,0,0,978,0,0,0,0,0,978,
,"\lcn","banshee.pl.po",4635,0,0,0,4635,0,0,0,0,0,4635,
,"\lcn","beagle.pl.po",1283,0,0,0,1283,0,0,0,0,0,1283,
,"\lcn","bootloader.pl.po",208,0,0,0,208,0,0,0,0,0,208,
,"\lcn","CheckHardware.pl.po",66,0,0,0,66,0,0,0,0,0,66,
,"\lcn","compiz.pl.po",1420,0,0,0,1420,0,0,0,0,0,1420,
,"\lcn","control-center2.pl.po",3536,0,0,0,3536,0,0,0,0,0,3536,
,"\lcn","cracklib.pl.po",94,0,0,0,94,0,0,0,0,0,94,
,"\lcn","cryptconfig.pl.po",866,0,0,0,866,0,0,0,0,0,866,
,"\lcn","eiciel.pl.po",147,0,0,0,147,0,0,0,0,0,147,
,"\lcn","evolution-2.6.pl.po",18629,0,0,0,18629,0,0,0,0,0,18629,
,"\lcn","evolution-data-server-1.6.pl.po",4394,0,0,0,4394,0,0,0,0,0,4394,
,"\lcn","evolution-exchange-2.6.pl.po",1286,0,0,0,1286,0,0,0,0,0,1286,
,"\lcn","evolution-webcal.pl.po",176,0,0,0,176,0,0,0,0,0,176,
,"\lcn","f-spot.pl.po",2524,0,0,0,2524,0,0,0,0,0,2524,
,"\lcn","gaim.pl.po",10717,0,998,0,9719,0,0,0,0,596,10121,
,"\lcn","gnome-cups-manager.pl.po",431,0,0,0,431,0,0,0,0,0,431,
,"\lcn","gnome-main-menu.pl.po",1036,0,0,0,1036,0,0,0,0,0,1036,
,"\lcn","gnome-panel.pl.po",4017,0,0,0,4017,0,0,0,0,0,4017,
,"\lcn","gnome-patch-translation.pl.po",2714,0,0,0,2714,0,0,0,0,0,2714,
,"\lcn","gnome-power-manager.pl.po",1327,0,0,0,1327,0,0,0,0,0,1327,
,"\lcn","gnome-screensaver.pl.po",1078,0,0,0,1078,0,0,0,0,0,1078,
,"\lcn","gnome-utils-2.0.pl.po",2568,0,0,0,2568,0,0,0,0,0,2568,
,"\lcn","hal.pl.po",164,0,0,0,164,0,0,0,0,0,164,
,"\lcn","html-help-boot.pl.po",579,0,0,0,579,0,0,0,0,0,579,
,"\lcn","html-help-install.pl.po",1957,0,0,0,1957,0,0,0,0,0,1957,
,"\lcn","kcmbeagle.pl.po",219,0,0,0,219,0,0,0,0,0,219,
,"\lcn","kerry.pl.po",492,0,0,0,492,0,0,0,0,0,492,
,"\lcn","kfiledialog.pl.po",36,0,0,0,36,0,0,0,0,0,36,
,"\lcn","kinternet.pl.po",700,0,0,0,700,0,0,0,0,0,700,
,"\lcn","kio_sysinfo.pl.po",135,0,0,0,135,0,0,0,0,0,135,
,"\lcn","kpowersave.pl.po",1489,0,0,0,1489,0,0,0,0,0,1489,
,"\lcn","krpmview.pl.po",36,0,0,0,36,0,0,0,0,0,36,
,"\lcn","kryptomedia.pl.po",44,0,0,0,44,0,0,0,0,0,44,
,"\lcn","kwin_SUSE2.pl.po",359,0,0,0,359,0,0,0,0,0,359,
,"\lcn","libgnomedb-3.pl.po",2878,0,0,0,2878,0,0,0,0,0,2878,
,"\lcn","libgnomesu.pl.po",133,0,0,0,133,0,0,0,0,0,133,
,"\lcn","libssui.pl.po",82,0,0,0,82,0,0,0,0,0,82,
,"\lcn","limal.pl.po",340,0,0,0,340,0,0,0,0,0,340,
,"\lcn","limal-apparmor-control.pl.po",7,0,0,0,7,0,0,0,0,0,7,
,"\lcn","limal-ca-mgm.pl.po",869,0,0,0,869,0,0,0,0,0,869,
,"\lcn","limal-nfs-server.pl.po",329,0,0,0,329,0,0,0,0,0,329,
,"\lcn","limal-runlevel.pl.po",70,0,0,0,70,0,0,0,0,0,70,
,"\lcn","linphone.pl.po",705,0,0,0,705,0,0,0,0,0,705,
,"\lcn","linuxrc.pl.po",1346,0,0,0,1346,0,0,0,0,0,1346,
,"\lcn","login.pl.po",305,0,0,0,305,0,0,0,0,0,305,
,"\lcn","nautilus-open-terminal.pl.po",24,0,0,0,24,0,0,0,0,0,24,
,"\lcn","nautilus-sendto.pl.po",54,0,0,0,54,0,0,0,0,0,54,
,"\lcn","nautilus-share.pl.po",198,0,0,0,198,0,0,0,0,0,198,
,"\lcn","NetworkManager.pl.po",985,0,0,0,985,0,0,0,0,0,985,
,"\lcn","NetworkManager-novellvpn.pl.po",240,0,0,0,240,0,0,0,0,0,240,
,"\lcn","NetworkManager-openvpn.pl.po",373,0,0,0,373,0,0,0,0,0,373,
,"\lcn","NetworkManager-vpnc.pl.po",298,0,0,0,298,0,0,0,0,0,298,
,"\lcn","pam_pwcheck.pl.po",128,0,0,0,128,0,0,0,0,0,128,
,"\lcn","pam_unix2.pl.po",356,0,0,0,356,0,0,0,0,0,356,
,"\lcn","patterns-sled.pl.po",389,0,0,0,389,0,0,0,0,0,389,
,"\lcn","patterns-sles.pl.po",795,0,0,0,795,0,0,0,0,0,795,
,"\lcn","power-management.pl.po",1739,0,0,0,1739,0,0,0,0,0,1739,
,"\lcn","profile_chooser.pl.po",201,0,0,0,201,0,0,0,0,0,201,
,"\lcn","RELEASE-NOTES-sled.pl.po",409,0,0,0,409,0,0,0,0,0,409,
,"\lcn","resapplet.pl.po",137,0,0,0,137,0,0,0,0,0,137,
,"\lcn","rug.pl.po",1336,0,0,0,1336,0,0,0,0,0,1336,
,"\lcn","sabayon.pl.po",801,0,0,0,801,0,0,0,0,0,801,
,"\lcn","sax.pl.po",1327,0,0,0,1327,0,0,0,0,0,1327,
,"\lcn","scpm_cli.pl.po",1311,0,0,0,1311,0,0,0,0,0,1311,
,"\lcn","scpm_groups.pl.po",89,0,0,0,89,0,0,0,0,0,89,
,"\lcn","scpm_lib.pl.po",875,0,0,0,875,0,0,0,0,0,875,
,"\lcn","slideshow-sled.pl.po",1040,0,0,0,1040,0,0,0,0,0,1040,
,"\lcn","sumf.pl.po",446,0,0,0,446,0,0,0,0,0,446,
,"\lcn","suseplugger.pl.po",101,0,0,0,101,0,0,0,0,0,101,
,"\lcn","susetranslations.pl.po",1664,0,0,0,1664,0,0,0,0,0,1664,
,"\lcn","tomboy.pl.po",1521,0,0,0,1521,0,0,0,0,0,1521,
,"\lcn","update-desktop-files.pl.po",19454,0,0,0,19454,0,0,0,0,0,19454,
,"\lcn","vmx-manager.pl.po",447,0,0,0,447,0,0,0,0,0,447,
,"\lcn","xen-vm-install.pl.po",1112,0,0,0,1112,0,0,0,0,0,1112,
